success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,random_id,condition,participant,rt,response,stimulus,nameability,correct_category,correct,file_name
NA,NA,NA,NA,NA,categorize-image,62,2.1.0,94847,p0ant7uvweh,hard,badger,707,a,stimuli/experiment1a/low_B_110.png,low,B,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,63,2.1.0,95350,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,64,2.1.0,97647,p0ant7uvweh,hard,badger,294,b,stimuli/experiment1a/low_B_110.png,low,B,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,image-keyboard-response,65,null,98887,p0ant7uvweh,hard,badger,1238,q,stimuli/experiment_check.webp,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,66,2.1.0,100585,p0ant7uvweh,hard,badger,1697,Meta,<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,67,2.1.0,102302,p0ant7uvweh,hard,badger,1716,Meta,<p><strong>TEST BLOCK 2 FINISHED</strong></p><p>Press any key to continue.</p>,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,68,2.1.0,102803,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,69,2.1.0,103305,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,70,2.1.0,106293,p0ant7uvweh,hard,badger,986,a,stimuli/experiment1a/low_B_111.png,low,B,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,71,2.1.0,106796,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
